,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
29013,Berry'd Alive,Yes,No,4.3,1901,Koramangala 5th Block,Dessert Parlor,"Brownie, Apple Pie, Blackberry Cheesecake, Chocolate Icecreams, Hot Chocolate, Caramel Chocolate, Peach Parfait",Desserts,400,Desserts
29014,IceBreakers,No,No,4.4,491,Koramangala 6th Block,Dessert Parlor,"Ice Cream Roll, Waffles, Pizza, Nitrogen Ice Cream, Rolls, Brownie Fudge, Popcorn","Desserts, Ice Cream",500,Desserts
29015,Smally's Resto Cafe,Yes,Yes,4.2,1702,Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650,NA
29018,Natural Ice Cream,No,No,4.5,940,Koramangala 1st Block,Dessert Parlor,"Coffee Walnut, Chocolate Icecreams, Tender Coconut Ice Cream, Thandai, Mango Ice Cream, Fruit Ice Cream, Custard Apple","Ice Cream, Beverages",200,Desserts
29023,Polar Bear,Yes,No,4.2,195,Koramangala 6th Block,Dessert Parlor,"Choco Fudge Brownie, Sandwich, Ice Cream Pizza, Tiramisu, Sandwiches, Chocolate Icecreams, Hot Chocolate","Ice Cream, Desserts, Beverages, Sandwich",400,Desserts
29025,Smoor,Yes,No,4.2,600,Koramangala 7th Block,Dessert Parlor,"Sandwich, Cheesecake, Cup Cake, Hot Chocolate, Coffee, Macaroon, Mousse","Desserts, Beverages",900,Desserts
29027,Frozen Bottle,Yes,No,4.1,241,Koramangala 5th Block,Beverage Shop,"Chocolate Hazelnut, Thick Shakes, Brownie Chocolate, Belgian Chocolate, Chocolate Shake, Tiramisu, Oreo Shake","Beverages, Desserts, Ice Cream",400,Desserts
29028,BelgYum,Yes,No,4,70,Koramangala 7th Block,Dessert Parlor,Waffles,Desserts,400,Desserts
29030,The Marash,Yes,No,4.3,67,Koramangala 5th Block,Dessert Parlor,"Turkish Ice Cream, Baklava, Chocolate Icecreams","Turkish, Desserts",250,Desserts
29032,Fresh Pressery Cafe,Yes,No,4.1,138,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts",1200,Desserts
29033,Cream Stone,Yes,No,4.2,340,Koramangala 5th Block,Dessert Parlor,"Chocolate Overdose, Chocolate Icecreams, Brownie, Coffee, Waffles, Tiramisu, Hot Chocolate Fudge","Desserts, Beverages",500,Desserts
29034,The Belgian Waffle Co.,Yes,No,4.2,178,Koramangala 5th Block,Dessert Parlor,"Belgian Waffles, Chocolate Overload, Triple Chocolate","Desserts, Beverages",350,Desserts
29035,Brownie Heaven,Yes,No,3.9,18,Koramangala 5th Block,Dessert Parlor,NA,Desserts,300,Desserts
29040,Banchharam,No,No,3.9,140,Koramangala 7th Block,"Quick Bites, Sweet Shop","Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll","Street Food, Mithai",200,Desserts
29042,Aubree Le Chocolatier,No,No,3.5,16,Koramangala 6th Block,Dessert Parlor,NA,Desserts,300,Desserts
29044,Baskin Robbins,No,No,4.1,77,Koramangala 7th Block,Dessert Parlor,Waffle Cone,"Ice Cream, Desserts",250,Desserts
29051,Cream Chemistry,Yes,No,4,231,Koramangala 5th Block,Dessert Parlor,"Rolls, Chocolate Icecreams, Red Velvet Ice Cream, Ice Cream Roll, Waffles","Ice Cream, Desserts",500,Desserts
29056,TRIGEREATO,Yes,Yes,4.4,102,Koramangala 8th Block,Cafe,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700,Desserts
29061,Pabrai's Fresh & Naturelle Icecreams,Yes,No,3.9,128,Koramangala 5th Block,Dessert Parlor,"Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Tender Coconut Ice Cream","Ice Cream, Desserts",200,Desserts
29062,Assi Tussi Lassi,Yes,No,3.7,25,Ejipura,Beverage Shop,NA,"Beverages, Fast Food, Ice Cream",200,Desserts
29064,Just Bake,Yes,No,3.8,123,Koramangala 5th Block,Bakery,"Coffee, Cup Cake","Bakery, Desserts",400,Desserts
29067,Sweet Chariot,Yes,No,4,186,Koramangala 7th Block,"Bakery, Dessert Parlor","Donut, Chocolate Mousse, Chocolate Cake, Cheesecake, Chicken Wings","Bakery, Fast Food",500,Desserts
29068,Frolic,Yes,No,3.9,33,Koramangala 7th Block,Dessert Parlor,NA,"Juices, Ice Cream",200,Desserts
29070,Krispy Kreme,Yes,No,4.2,448,Koramangala 7th Block,Dessert Parlor,"Donut, Coffee, Chocolate Dreamcake, Latte, Hot Chocolate, Cookie Crunch, Cappuccino","Desserts, Beverages",300,Desserts
29073,Haagen Dazs,Yes,No,3.9,79,Koramangala 7th Block,Dessert Parlor,"Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake","Ice Cream, Desserts",800,Desserts
29074,Haji Ali Juice Centre,Yes,No,4,152,Koramangala 5th Block,"Beverage Shop, Quick Bites","Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich","Beverages, Fast Food, Desserts",350,Desserts
29075,Lassi Shop,Yes,No,4,210,Koramangala 5th Block,Beverage Shop,"Faluda, Sweet Lassi, Mango Lassi, Malai Kulfi","Beverages, Ice Cream",200,Desserts
29077,Juicy,No,No,3.9,43,Koramangala 5th Block,Beverage Shop,"Sandwiches, Mango Shake","Beverages, Juices, Fast Food",200,Desserts
29080,The French Loaf,No,No,3.8,34,Koramangala 5th Block,Bakery,Sandwiches,"Bakery, Desserts, Sandwich",400,Desserts
29081,Lakeview Milkbar,No,No,3.8,289,Koramangala 8th Block,"Dessert Parlor, Cafe","Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes","Desserts, Cafe, Fast Food",500,Desserts
29082,Kanti Sweets,Yes,No,3.9,68,Koramangala 3rd Block,Sweet Shop,NA,"Mithai, Street Food",400,Desserts
29087,Cake Box,Yes,No,3.5,98,Koramangala 8th Block,Bakery,"Chocolate Truffle, Blueberry Cheesecake","Bakery, Desserts",400,Desserts
29088,Iyengar's Bakery,No,No,3.5,11,Koramangala 6th Block,Bakery,NA,Bakery,200,Desserts
29095,Bansuri Sweets,No,No,3.7,73,Koramangala 6th Block,"Sweet Shop, Quick Bites","Thali, Dhokla, Chaat, Samosa, Panipuri, Jalebi, Pav Bhaji","Mithai, North Indian, Street Food",250,Desserts
29102,Chef Baker's,Yes,No,3.6,37,Koramangala 1st Block,"Bakery, Quick Bites",NA,Bakery,450,Desserts
29110,Lassi Corner,Yes,No,3.5,16,Koramangala 5th Block,Beverage Shop,NA,"Beverages, Desserts",300,Desserts
29111,The Chocolate Room,No,No,3.8,63,Koramangala 7th Block,"Cafe, Bakery","Waffles, Burgers, Hot Chocolate, Chocolate Avalanche, Fries, Brownie","Cafe, Desserts, Bakery",600,Desserts
29115,Mad Over Donuts,Yes,No,4.2,703,Koramangala 7th Block,Dessert Parlor,"Donut, Latte, Coffee, Choco Bomb, Hot Chocolate, Waffles, Cappuccino","Bakery, Desserts, Beverages",450,Desserts
29117,Cakes & Candles,Yes,No,3.1,11,Koramangala 5th Block,"Bakery, Dessert Parlor",NA,"Bakery, Desserts",300,Desserts
29121,Stoned Monkey,Yes,No,4.1,511,Koramangala 6th Block,Dessert Parlor,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream","Desserts, Ice Cream",500,Desserts
29125,The Donut Baker,No,No,3.8,62,Koramangala 7th Block,"Bakery, Dessert Parlor","Donut, Chocolate Fantasy",Desserts,150,Desserts
29129,Gelato Italiano,Yes,No,3.9,110,Koramangala 5th Block,Dessert Parlor,"Gelato, Madagascar Chocolate, Belgian Chocolate, Waffle Cone, New York Cheesecake","Ice Cream, Bakery, Desserts",200,Desserts
29133,Kulfi & More,No,No,3.5,7,Koramangala 1st Block,Dessert Parlor,NA,"Ice Cream, Beverages",200,Desserts
29135,iFruit Live Ice Creams,No,No,3.4,10,Koramangala 1st Block,Dessert Parlor,NA,Ice Cream,300,Desserts
29140,Karachi Bakery,Yes,No,3.4,7,Koramangala 5th Block,Bakery,NA,"Bakery, Desserts",400,Desserts
29142,The Waffles Hut,Yes,No,3.8,23,Koramangala 5th Block,Dessert Parlor,NA,Desserts,400,Desserts
29143,Black Deer,Yes,No,4.4,149,Koramangala 5th Block,"Takeaway, Delivery","Chocolate Fudge, Chocolate Shake, Bubble Gum Shake, Hot Chocolate, Belgian Waffles, Mango Milkshake","Beverages, Desserts",350,Desserts
29144,Warm Oven,Yes,No,3.9,28,Koramangala 7th Block,Bakery,NA,"Bakery, Desserts",500,Desserts
29149,Uday Sweets,Yes,No,3.5,33,Koramangala 6th Block,Sweet Shop,"Jalebi, Poha, Puri Sabzi","Mithai, Fast Food",250,Desserts
29151,Cafe On The Way,Yes,No,4,275,Koramangala 3rd Block,Cafe,"Waffles, Coffee, Pesto Sandwich, Hazelnut Cappuccino, Latte, Salads, Pasta",Cafe,500,Desserts
29162,Bombay Kulfis,Yes,No,3.9,28,Koramangala 5th Block,Dessert Parlor,NA,Ice Cream,200,Desserts
29169,Me And My Cake,No,No,3.3,5,Koramangala 7th Block,Takeaway,NA,"Bakery, Desserts",500,Desserts
29175,Apsara Ice Cream,No,No,4,128,Koramangala 5th Block,Dessert Parlor,Panipuri,Ice Cream,200,Desserts
29176,Shree Mithai,No,No,3.3,9,Koramangala 7th Block,"Quick Bites, Sweet Shop",NA,"Desserts, Street Food, Mithai",150,Desserts
29178,The ChouBox,No,No,3.5,11,Koramangala 6th Block,"Takeaway, Delivery",NA,"Desserts, Bakery",300,Desserts
29180,Straight From The Heart,No,No,3.4,5,Koramangala 6th Block,Bakery,NA,"Bakery, Desserts",300,Desserts
29183,Delightz,No,No,4,40,Koramangala 6th Block,Dessert Parlor,"Waffles, Burgers, Tea, Pasta, Garlic Bread","Desserts, Fast Food",300,Desserts
29184,Fetchpod Cafe,No,No,2.9,12,Koramangala 6th Block,Cafe,NA,"Cafe, North Indian, Chinese, Continental",500,Desserts
29190,The Sweet Spot,No,No,4,157,Koramangala 6th Block,Dessert Parlor,"Brownie, Vanilla Ice Cream",Desserts,300,Desserts
29192,Sweet Truth,Yes,No,4.1,23,Koramangala 6th Block,Delivery,NA,"Bakery, Desserts",500,Desserts
29196,House Of Wholewheat,Yes,No,3.1,6,Koramangala 1st Block,Bakery,NA,"Bakery, Desserts",200,Desserts
29199,Cakes and Moulds,No,No,3.6,19,Koramangala 1st Block,Bakery,NA,"Bakery, Desserts",300,Desserts
29200,Gowri Sweets,No,No,3.3,4,Koramangala 8th Block,Sweet Shop,NA,"Mithai, Street Food",300,Desserts
29203,Amrutha Sweets,No,No,3.5,13,Ejipura,Quick Bites,NA,"Street Food, Mithai",200,Desserts
29204,Bakingo,Yes,No,4,76,Koramangala 1st Block,Bakery,Coffee,"Bakery, Desserts",500,Desserts
29207,Calvin's,Yes,No,3.8,433,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",Desserts,800,Desserts
29210,Amma's Pastries,No,No,4.1,148,HSR,Dessert Parlor,NA,Bakery,400,Desserts
29212,Gogula's Sweets & Chats,Yes,No,4,206,BTM,"Sweet Shop, Quick Bites","Chole, Kulfi, Kachori, Samosa, Chaat, Pav Bhaji, Barfi","Mithai, Street Food, Fast Food",200,Desserts
29222,The Ganache Factory,Yes,No,4.1,41,Domlur,"Dessert Parlor, Bakery","Cheesecake, Key Lime Pie","Desserts, Bakery",400,Desserts
29223,Bubble Bee,Yes,No,3.9,48,HSR,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake","Beverages, Bubble Tea, Desserts",400,Desserts
29224,Kwality Cakes N Bakes,Yes,No,3.7,92,HSR,Bakery,"Burgers, Eggless Cake, Red Velvet Cake","Bakery, Desserts",350,Desserts
29228,Jodhpur Sweets & Corner,No,No,3.7,21,BTM,"Dessert Parlor, Sweet Shop",NA,"Desserts, Street Food, Mithai",200,Desserts
29229,KC Das - Sweet Corner,No,No,2.9,47,HSR,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",200,Desserts
29232,Food Theory,No,No,2.7,56,HSR,Delivery,"Chicken Momo, Momos","Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Desserts
29237,56 Bhoga Sweets,No,No,3.6,51,HSR,"Takeaway, Delivery","Dahi Vada, Rasgulla, Samosa","Mithai, Street Food",150,Desserts
29240,Jigarthanda,No,No,3.6,11,BTM,Quick Bites,NA,"Fast Food, Desserts, Rolls",200,Desserts
29241,Kulfisthan,Yes,No,3.5,7,HSR,Dessert Parlor,NA,Ice Cream,150,Desserts
29245,The Chef's Cake & Bakes,Yes,No,0,0,Richmond Road,Dessert Parlor,NA,Desserts,800,Desserts
29246,Juice Shop,Yes,No,3.7,16,HSR,"Takeaway, Delivery",NA,"Juices, Beverages, Ice Cream",150,Desserts
29249,Nasi And Mee,Yes,Yes,4.4,2395,Koramangala 4th Block,Casual Dining,"Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian","Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000,NA
29254,The Fixx,No,Yes,4.3,216,Koramangala 4th Block,"Casual Dining, Bar","Cocktails, Shakshouka, Beer, Margherita Pizza, Blueberry Cheesecake, Fries, Bellini","Continental, South Indian, Italian, North Indian, Chinese",1200,Dine-out
29256,Biergarten,No,Yes,4.8,460,Koramangala 5th Block,"Pub, Microbrewery","Penne Arrabiata Pasta, Craft Beer, Cocktails, Bruschettas, Peri Peri Chicken, Pizza, Mocktails","Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100,Dine-out
29261,The Hole in the Wall Cafe,No,No,4.6,7120,Koramangala 4th Block,Cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette","Cafe, American, Burger",600,NA
29263,Prost Brew Pub,No,Yes,4.5,7854,Koramangala 4th Block,"Pub, Microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs","American, Continental, North Indian, Salad",1800,Dine-out
29264,Onesta,Yes,Yes,4.4,9080,Koramangala 4th Block,"Casual Dining, Cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600,Dine-out
29268,The Terrace at Gilly's Redefined,No,Yes,4.6,886,Koramangala 4th Block,"Microbrewery, Casual Dining","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Pizza, Drunken Prawn","Continental, Finger Food, Asian, North Indian",1400,Dine-out
29270,Myu Bar at Gilly's Redefined,No,Yes,4.5,1228,Koramangala 4th Block,"Microbrewery, Bar","Mai Thai, Sangria, Cocktails, Pizza, Biryani, Beer, Chicken Nachos","American, North Indian, Pizza, Finger Food, Continental, Italian",1200,NA
29275,Sotally Tober,No,Yes,4.4,4079,Koramangala 4th Block,"Bar, Casual Dining","Cocktails, Barbeque Chicken Pizza, Chocolate Martini, Nachos, Bbq Chicken Pizza, Wedges, Beer","Asian, Burger, Pizza, Chinese, Finger Food",1200,NA
29277,1522 - The Pub,No,Yes,4.2,1741,Koramangala 4th Block,Pub,"Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza","Chinese, Continental, North Indian",1400,Dine-out
29282,Pasta Street,Yes,Yes,4.5,256,Koramangala 4th Block,Casual Dining,"Pasta, Wine, Pizza, Lasagne, Cheesecake, Spinach Ravioli, Cocktails","Italian, Pizza, Salad",1300,NA
29284,The Beer Cafe,Yes,Yes,4.2,1175,Koramangala 4th Block,Pub,"Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails","Finger Food, Chinese, Italian, Burger",1300,Dine-out
29285,Cheers Pub Bar & Restro,No,Yes,0,0,Koramangala 4th Block,"Pub, Bar","Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Spaghetti, Mai Thai","Continental, Finger Food, Pizza, North Indian, Bar Food",1100,Dine-out
29290,Dialogues,No,No,4.1,314,Koramangala 4th Block,Cafe,"Poha, Momos, Chai, Pasta, Tea, Pancakes, Chicken Sandwich","Cafe, Continental",600,Dine-out
29292,Hanoi - Vietnamese Cuisine,Yes,Yes,4.4,1808,Koramangala 4th Block,Casual Dining,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup",Vietnamese,1000,NA
29295,Pot-O-Noodles,No,Yes,4.3,164,Koramangala 4th Block,Casual Dining,"Noodles, Mocktails, Miso Soup, Chilli Ramen, Chicken Grill, Steamed Rice, Gyoza","Chinese, Asian, Japanese",800,Dine-out
29296,Stoked!,No,No,4.3,294,Koramangala 4th Block,Cafe,"Pizza, Pancakes, Penne Pasta, Hot Chocolate, Mezze Platter, Cappuccino, Waffles","Cafe, Italian, Pizza",850,Dine-out
29298,Anjappar,No,No,3.9,1160,Koramangala 4th Block,Casual Dining,"Tandoori Chicken, Biryani, Chettinad Thali, Elaneer Payasam, Crab Soup, Fish, Pepper Chicken","Chettinad, South Indian",650,Dine-out
29300,Via Milano,Yes,Yes,4.2,1624,Koramangala 4th Block,Casual Dining,"Pasta, Pizza, Steak, Mojito, Salads, Tiramisu, Sea Food","Salad, Italian, Desserts, Pizza",1500,Dine-out
29303,Oldtown Dilli,Yes,Yes,4.1,258,Koramangala 4th Block,Casual Dining,"Rabri, Tandoori Roti, Mutton Roganjosh, Shahi Tukda, Naan, Mutton Seekh, Malai Kofta","Mughlai, North Indian, Turkish, Afghan",750,Dine-out
29311,Nandhana Palace,No,Yes,4.1,807,Koramangala 4th Block,"Casual Dining, Bar","Supreme Chicken Biryani, Chicken Curry, Curd Rice, Chilli Chicken, Veg Thali, Lime Soda, Mutton Bone Soup","Andhra, Biryani, North Indian, Chinese",800,Dine-out
29315,Enerjuvate Studio & Cafe,Yes,Yes,4.4,466,Koramangala 4th Block,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800,NA
29319,Attic Lounge,Yes,Yes,4,1238,Koramangala 4th Block,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Spaghetti",Cafe,700,NA
29325,Banjara Melting Pot,Yes,Yes,4.2,767,Koramangala 4th Block,Casual Dining,"Mocktails, Dal Tadka, Paneer Lababdar, Stuffed Kulcha, Vegetable Biryani, Sea Food, Wine","North Indian, Chinese, Seafood",1700,Dine-out
29330,Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750,Dine-out
29331,PagalKhana,Yes,Yes,3.9,144,Koramangala 4th Block,Casual Dining,"Mocktails, Pasta, Wood Fire Pizza, Paneer Malai Tikka, French Fries, Nachos, Burgers","Continental, Chinese, Fast Food, Beverages",1000,Dine-out
29335,Qube Cafe,Yes,No,4.2,169,Koramangala 4th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700,Dine-out
29341,Swathi Maharaja,Yes,Yes,3.7,291,Koramangala 4th Block,Casual Dining,"Murgh Ghee Roast, Mutton Biryani, Buttermilk, Andhra Meal, Thali, Chilli Chicken, Prawn","Andhra, North Indian, Chinese, Biryani",750,Dine-out
29346,Terra Bites,Yes,No,4.1,65,Koramangala 4th Block,"Cafe, Casual Dining","Spaghetti, Hot Chocolate, Coffee, Tea","Cafe, Italian, Continental",700,Dine-out
29347,Cilantro,Yes,Yes,4,281,Koramangala 4th Block,"Casual Dining, Bar","Biryani, Breakfast Buffet, Fish, Salads, Burgers, Caramel Pudding, Steak","European, American, Continental, North Indian, Steak",1500,Dine-out
29348,Sutra Spice-The Resto Bar,No,No,3.9,34,Koramangala 4th Block,Bar,NA,"South Indian, Andhra",1000,Dine-out
29349,The Rendezvous,Yes,No,3.7,483,Koramangala 4th Block,Casual Dining,"Chicken Fritters, Steak, Sandwiches, Burgers, Pasta, Salads, Beef Stroganoff","Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",800,Dine-out
29356,Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,597,Koramangala 4th Block,Bar,"Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish","Finger Food, North Indian, Chinese",1200,Dine-out
29357,The Arabesque Cafe,No,No,4.1,100,Koramangala 4th Block,Casual Dining,"Onion Rings, Triple Schezwan","American, Continental, Chinese",600,Dine-out
29361,Smise,Yes,Yes,4,1209,Koramangala 4th Block,Cafe,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza","Cafe, Continental, Italian, Burger, Pizza",650,NA
29365,Fandom at Gilly's Redefined,No,No,3.9,105,Koramangala 4th Block,Bar,"Onion Rings, French Fries",Finger Food,1500,Dine-out
29374,Cafe Coffee Day The Lounge,Yes,No,3.6,76,Koramangala 4th Block,Cafe,"Fries, Nachos, Burgers","Cafe, Fast Food",650,Dine-out
29375,Delicacy,Yes,No,3.9,523,Koramangala 4th Block,Casual Dining,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice","Chinese, Thai, Momos",500,Dine-out
29380,Hungry Travellers Cafe,No,No,3.8,27,Koramangala 4th Block,Cafe,NA,Cafe,450,Dine-out
29381,Helloo Delhi,Yes,Yes,4.1,221,Koramangala 4th Block,Casual Dining,"Rasmalai, Murgh Lababdar, Kadai Paneer, Dal Makhani, Fish, Jal-jeera, Lassi",North Indian,1000,Dine-out
29382,Paratha Plaza,No,No,3.9,220,Koramangala 4th Block,Quick Bites,"Dum Aloo, Sweet Lassi, Aloo Paratha, Biryani",North Indian,250,Dine-out
29383,Vasudev Adiga's,No,No,2.8,289,Koramangala 4th Block,Casual Dining,"Filter Coffee, Mysore Masala Dosa, Buttermilk, Idli, Rava Dosa, Neer Dosa, Thali","South Indian, North Indian, Chinese, Street Food",250,Dine-out
29389,Silsila,No,No,2.7,47,Koramangala 4th Block,Casual Dining,Paratha,North Indian,800,Dine-out
29392,G Resto Cafe,No,No,3.3,4,Koramangala 4th Block,Cafe,NA,"Cafe, Fast Food, Beverages",400,Dine-out
29398,CafS,No,No,3.2,4,Koramangala 4th Block,Cafe,NA,"Cafe, American, European",600,Dine-out
29399,Oregano Pizzeria,Yes,No,3.7,52,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450,Dine-out
29400,La Pino'z Pizza,Yes,No,4.1,502,Koramangala 4th Block,Quick Bites,"Fries, White Sauce Pasta, Monster Pizza, Cheesy Garlic Bread, Cheesy Pizza, Margherita Pizza","Italian, Pizza, Beverages",600,Dine-out
29402,Snow'ora,Yes,Yes,4.3,342,Koramangala 4th Block,Quick Bites,"Bingsu, Mocktails, Custard, Chocolate Oreo, Sandwiches, Brownie, Korean Ice Cream","Desserts, Ice Cream, Beverages",450,Dine-out
29403,Domino's Pizza,Yes,No,3,290,Koramangala 4th Block,Quick Bites,"Pizza, Garlic Bread, Chocolava","Pizza, Fast Food",400,Dine-out
29406,Savitha Family Restaurant,Yes,No,4,198,Koramangala 4th Block,Quick Bites,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",North Indian,500,Dine-out
29408,Crown Gold,Yes,No,3.9,49,Koramangala 4th Block,Quick Bites,Sea Food,"South Indian, Chinese, Seafood",400,Dine-out
29412,Rollin,Yes,No,4,211,Koramangala 4th Block,Quick Bites,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle","Continental, Pizza, Chinese",400,Dine-out
29413,Taste of Assam,Yes,No,3.4,25,Koramangala 4th Block,Quick Bites,NA,"Assamese, North Indian, Chinese",400,Dine-out
29414,Rang De Basanthi,Yes,No,3.7,434,Koramangala 4th Block,Quick Bites,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken","North Indian, South Indian, Chinese",400,Dine-out
29418,Sri Vishnu Upahar,No,No,3.6,28,Koramangala 4th Block,Quick Bites,NA,"North Indian, South Indian",250,Dine-out
29420,The Shawarma Shop,No,No,0,0,Koramangala 4th Block,Quick Bites,NA,Arabian,250,Dine-out
29424,Daily Bread,No,No,2.7,53,Koramangala 4th Block,"Bakery, Quick Bites","Sandwiches, Sandwich, Coffee","Bakery, Fast Food, Italian",600,Dine-out
29425,Pizza Stop,Yes,No,3.9,241,Koramangala 4th Block,Quick Bites,"Garlic Bread, Pasta, Veggie Pizza, Salsa, Nachos, Nawabi Pizza, Sicilian Pizza","Pizza, Italian",600,Dine-out
29429,KF's Biryani's and Kababs,Yes,No,3.4,17,Koramangala 4th Block,Quick Bites,NA,"Biryani, Kebab",400,Dine-out
29430,Maven Foods,No,No,3.6,12,Koramangala 4th Block,Quick Bites,NA,"Continental, North Indian, South Indian",650,Dine-out
29439,Kaati Zone,Yes,No,3.4,6,Koramangala 6th Block,Quick Bites,NA,"Fast Food, Biryani, Rolls",350,Dine-out
29440,Hasini Foods,No,No,2.9,21,Koramangala 4th Block,Quick Bites,NA,"Andhra, Chinese, North Indian",450,Dine-out
29441,The Tiffin Express,No,No,2.6,16,Koramangala 4th Block,Quick Bites,NA,South Indian,250,Dine-out
29447,WOW! Momo,Yes,No,3.9,151,Koramangala 4th Block,Food Court,"Thukpa, Chocolate Momos, Schezwan Momos, Momos Burger, Burgers, Chicken Momo, Veg Momos","Tibetan, Momos",400,Dine-out
29448,The Black Pearl,No,Yes,4.7,10503,Koramangala 5th Block,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","North Indian, European, Mediterranean",1400,NA
29450,Truffles,No,No,4.7,14704,Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",900,Dine-out
29452,The Bier Library,Yes,Yes,4.3,559,Koramangala 6th Block,"Microbrewery, Casual Dining","Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie","Continental, North Indian, Pizza, BBQ",2000,Dine-out
29454,Koramangala Social,Yes,No,4.6,4689,Koramangala 7th Block,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","American, North Indian, Chinese, Finger Food",1500,NA
29455,XOOX Brewmill,No,Yes,4.4,1562,Koramangala 5th Block,"Microbrewery, Casual Dining","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada","Modern Indian, European, Asian",2000,NA
29460,Gilly's Restobar,No,Yes,4.5,3912,Koramangala 5th Block,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari","Finger Food, Continental, North Indian",1000,NA
29462,Bombay Adda,No,Yes,4.4,2355,Koramangala 7th Block,"Casual Dining, Bar","Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",Modern Indian,1100,NA
